component,variance,explained_variance_ratio,cumulative_ratio
1,579.0672954699786,0.31209646048284867,0.31209646048284867
2,307.98211417735627,0.16599129061289,0.47808775109573864
3,132.44704844295754,0.07138419894167636,0.549471950037415
4,119.76272209369864,0.06454780291623674,0.6140197529536517
5,95.33476942816503,0.0513820143742194,0.6654017673278712
6,57.35497537069515,0.030912270377395103,0.6963140377052662
7,32.915768547202376,0.017740416248714103,0.7140544539539804
8,22.16758983362879,0.01194753421343894,0.7260019881674193
9,20.64249954986819,0.011125565362491903,0.7371275535299112
10,15.40221991336959,0.008301242974945926,0.7454287965048572
11,14.879293946037755,0.008019404672600813,0.7534482011774579
12,13.467233621464896,0.007258354907340326,0.7607065560847982
13,12.487190108983718,0.006730146677040759,0.767436702761839
14,12.380171717172821,0.0066724676101135895,0.7741091703719526
15,11.70640549798291,0.006309331833240858,0.7804185022051935
16,11.628701730283433,0.0062674522951372495,0.7866859545003307
17,11.339420257133058,0.006111539977933736,0.7927974944782645
18,10.85051052622765,0.0058480352044732375,0.7986455296827377
19,10.766948545545159,0.005802998300116939,0.8044485279828547
20,10.489707503834534,0.005653575342724331,0.8101021033255791
21,10.284590829994215,0.00554302482745197,0.815645128153031
22,10.104117390946326,0.005445756130050748,0.8210908842830817
23,9.62241752748569,0.0051861372160191405,0.8262770214991009
24,9.334922442626567,0.005031187697901517,0.8313082091970024
25,9.227498846683911,0.0049732902405104345,0.8362814994375128
26,9.052394105103437,0.004878915078092264,0.8411604145156051
27,8.642335650002522,0.004657908308362345,0.8458183228239674
28,8.60152283171095,0.004635911666122704,0.85045423449009
29,8.281408740551479,0.004463381675941737,0.8549176161660318
30,8.132990460314224,0.004383389557071677,0.8593010057231034
31,8.0815331269893,0.00435565590379471,0.8636566616268981
32,7.8831412469445254,0.004248729810687934,0.867905391437586
33,7.831736710700781,0.004221024613140188,0.8721264160507263
34,7.5606823305478805,0.004074936043977542,0.8762013520947038
35,7.312287240414339,0.003941060017756655,0.8801424121124605
36,7.191775749919513,0.0038761086555830723,0.8840185207680435
37,7.165680556235828,0.0038620442840531927,0.8878805650520968
38,7.019594232524361,0.0037833090059396246,0.8916638740580364
39,6.666751312994589,0.0035931393535466316,0.895257013411583
40,6.60355856490014,0.003559080733481661,0.8988160941450647
41,6.453387162303988,0.0034781437446676665,0.9022942378897324
42,6.40305837430185,0.003451018336759574,0.9057452562264919
43,6.242727689333694,0.003364605859873377,0.9091098620863654
44,6.109869349038471,0.0032929999894052275,0.9124028620757706
45,5.97230376096917,0.0032188570815661227,0.9156217191573367
46,5.849547221209393,0.0031526957185261774,0.9187744148758629
47,5.63536235305611,0.00303725777243155,0.9218116726482944
48,5.43437505174413,0.002928932840541624,0.9247406054888361
49,5.350522069725259,0.002883739096923654,0.9276243445857597
50,5.113395811087884,0.0027559365658755123,0.9303802811516352
51,5.051737127994734,0.00272270475171169,0.9331029859033468
52,5.034944180787751,0.002713653956708458,0.9358166398600553
53,4.854095672770921,0.002616183110613018,0.9384328229706683
54,4.722498753174689,0.002545257100565954,0.9409780800712343
55,4.639198027752575,0.0025003610034054413,0.9434784410746397
56,4.4519494649108005,0.002399440757778398,0.9458778818324182
57,4.3517169955529225,0.002345419059166218,0.9482233008915844
58,4.341422434480937,0.002339870660736665,0.9505631715523211
59,4.165359458241646,0.0022449790442765063,0.9528081505965975
60,4.070434286608186,0.0021938177883926192,0.9550019683849902
61,3.9886231406103057,0.002149724521006035,0.9571516929059962
62,3.793488741804608,0.0020445540932127007,0.9591962469992089
63,3.715690592145743,0.002002623686625086,0.961198870685834
64,3.6266969500120587,0.001954659311961416,0.9631535299977954
65,3.5291480818011705,0.0019020839779183892,0.9650556139757137
66,3.4946011299587565,0.0018834644124985566,0.9669390783882122
67,3.3758211768558155,0.0018194462867474562,0.9687585246749597
68,3.35878348789225,0.001810263584733486,0.9705687882596932
69,3.1391442137186774,0.001691885909826187,0.9722606741695193
70,3.004894252854445,0.0016195300058864175,0.9738802041754058
71,2.9183573380236014,0.0015728897189437885,0.9754530938943495
72,2.7783258000101867,0.0014974177527114596,0.976950511647061
73,2.703801295104431,0.0014572517229904307,0.9784077633700514
74,2.6128107462620314,0.0014082110873799242,0.9798159744574313
75,2.5347650598957503,0.0013661472674035228,0.9811821217248348
76,2.365558833489432,0.0012749511926706003,0.9824570729175054
77,2.272847024159218,0.0012249828595195516,0.9836820557770249
78,2.2441715752380165,0.0012095278231514554,0.9848915836001764
79,2.1458602004029217,0.001156541525442597,0.986048125125619
80,2.0956389846084096,0.001129474095088252,0.9871775992207072
81,2.023216199600707,0.001090440816856109,0.9882680400375634
82,1.9004199915530695,0.001024258074034692,0.9892922981115981
83,1.7817712085995328,0.0009603106442798434,0.990252608755878
84,1.7226110719076841,0.0009284254568281464,0.9911810342127061
85,1.540783987345974,0.0008304271931452212,0.9920114614058513
86,1.4704996423111114,0.0007925464572025485,0.9928040078630538
87,1.3716995088460668,0.0007392967361582141,0.993543304599212
88,1.334270184278664,0.0007191236754325704,0.9942624282746446
89,1.3273487467402054,0.0007153932693569643,0.9949778215440016
90,1.2783088564051917,0.0006889625309682543,0.9956667840749699
91,1.161265418049447,0.0006258803242552623,0.9962926643992251
92,1.0860871141976667,0.0005853619203999695,0.9968780263196251
93,1.0190674062410887,0.0005492407065108895,0.9974272670261359
