component,variance,explained_variance_ratio,cumulative_ratio
1,23.321809892148938,0.23302375050572144,0.23302375050572144
2,15.38005027886148,0.1536723357029576,0.386696086208679
3,12.753729325322125,0.1274310121755102,0.5141270983841892
4,8.033126106303085,0.08026431834547831,0.5943914167296676
5,5.049180781842032,0.05044973131190496,0.6448411480415726
6,3.2637227530540804,0.03261002984093202,0.6774511778825045
7,1.9125165742721462,0.019109228104602523,0.696560405987107
8,1.437269535514896,0.014360718109019665,0.7109211240961266
9,1.1324665976620312,0.011315228754973126,0.7222363528510998
10,0.6994162957323081,0.006988334488191977,0.7292246873392918
11,0.6060627777163152,0.006055577254015516,0.7352802645933073
12,0.5802519632642972,0.005797684199615768,0.7410779487929231
13,0.5598269215544425,0.0055936039911981365,0.7466715527841212
14,0.5295365656692416,0.005290952851978504,0.7519625056360998
15,0.5258800081744426,0.005254417748342971,0.7572169233844428
16,0.5170810264190441,0.005166501255636948,0.7623834246400798
17,0.512556798633054,0.005121296679675264,0.7675047213197551
18,0.5011926454528959,0.005007749849150184,0.7725124711689053
19,0.4877341561850929,0.004873277110549386,0.7773857482794547
20,0.48398248414774514,0.004835791654109553,0.7822215399335642
21,0.46620959332795436,0.004658210853335143,0.7868797507868994
22,0.4614585849140985,0.004610740360933367,0.7914904911478328
23,0.4537134645551458,0.004533353700013497,0.7960238448478463
24,0.4456304760889874,0.0044525911735891315,0.8004764360214354
25,0.43679767379199713,0.004364336757305037,0.8048407727787404
26,0.42413430508829514,0.004237808598340548,0.809078581377081
27,0.41912218992583344,0.004187729214342285,0.8132663105914233
28,0.41204624128802814,0.00411702869420288,0.8173833392856261
29,0.40279990654089903,0.004024642399521149,0.8214079816851473
30,0.39837066922671294,0.003980386936690239,0.8253883686218375
31,0.39432800151636505,0.003939993948484347,0.8293283625703218
32,0.3908185517223532,0.003904928695959178,0.833233291266281
33,0.38487060058570877,0.003845498750852206,0.8370787900171331
34,0.377967540326726,0.003776525673764537,0.8408553156908977
35,0.368365341174197,0.0036805837005655178,0.8445358993914632
36,0.364544216778393,0.003642404299310776,0.848178303690774
37,0.36077707784066027,0.0036047643027579297,0.8517830679935319
38,0.35300458619846387,0.0035271041570996507,0.8553101721506315
39,0.3521384036178576,0.00351844954948176,0.8588286217001133
40,0.34704185330537574,0.0034675265176095454,0.8622961482177228
41,0.34438697657675305,0.0034409998742960567,0.8657371480920188
42,0.337873931051982,0.0033759236944277196,0.8691130717864466
